epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.49796485900878906,0.8077731132507324,0.23198118805885315,0.925000011920929
1,0.2566486895084381,0.901890754699707,0.49863487482070923,0.8047618865966797
2,0.18171115219593048,0.9298319220542908,0.2502441704273224,0.9142857193946838
3,0.11819417029619217,0.9546218514442444,0.19984406232833862,0.938095211982727
4,0.08534605801105499,0.9672268629074097,0.18119926750659943,0.9547619223594666
5,0.07496221363544464,0.9716386795043945,0.14773878455162048,0.9464285969734192
6,0.06492955982685089,0.9771008491516113,0.16546818614006042,0.961904764175415
7,0.03847288712859154,0.9846638441085815,0.17412003874778748,0.9571428298950195
8,0.050234440714120865,0.9842436909675598,0.14081178605556488,0.9511904716491699
9,0.03280213475227356,0.9886554479598999,0.13267208635807037,0.9630952477455139
